,name,core score
362,Saucony Peregrine 11,88
363,Asics EvoRide 2,88
364,Brooks Glycerin GTS 19,91
365,New Balance Fresh Foam 1080 v11,89
366,Adidas Alphatorsion,83
367,Altra Lone Peak 5.0,92
368,Nike ZoomX Invincible Run,88
369,New Balance Fresh Foam More Trail v1,89
370,Saucony Hurricane 23,91
371,Adidas Ultraboost 21,89
372,Nike Air Zoom Vomero 15,82
373,Nike React Infinity Run Flyknit 2,87
374,Hoka Carbon X 2,89
375,Brooks Trace,92
376,Brooks Launch 8,91
377,Adidas SL20.2,84
378,Brooks Divide 2,87
379,Nike Air Zoom Tempo Next% FlyEase,84
380,Brooks Caldera 5,88
381,Brooks Glycerin 19,90
382,Brooks Ghost 13 GTX,89
383,Nike Pegasus Trail 2 GTX,90
384,Salomon Wildcross GTX,86
385,Columbia Caldorado III OutDry,85
386,Skechers GOrun Razor+,88
387,Salomon XT-6,85
388,Asics Hyper Speed,83
389,Asics Gel Nimbus Lite 2,90
390,Hoka Challenger 6 ATR GTX,79
391,Altra Superior 4.5,86
392,Nike Air Zoom Pegasus 37 Shield,81
393,Asics Gel Kayano 27 MK,82
394,Salomon Predict Soc,82
395,Nike Air Zoom Structure 23,88
396,Merrell Nova 2,84
397,Asics Gel Nimbus 23,90
398,Hoka Rocket X,88
399,Asics Gel Kayano Lite,90
400,Brooks Adrenaline GTS 21,92
401,Saucony Switchback 2,87
402,New Balance FuelCell RC Elite,83
403,Hoka Challenger 6 ATR,86
404,Asics Dynablast,87
405,361 Degrees Fantom,77
406,On Cloudboom,89
407,New Balance Fresh Foam Beacon v3,89
408,Nike Air Zoom Tempo Next%,87
409,Skechers GOrun MaxRoad 4+ Hyper,87
410,Skechers GOrun Forza 4 Hyper,83
411,Inov-8 Terraultra G 270,89
412,Salomon Wildcross,91
413,Salomon XT-Wings 2,79
414,Salomon S-Lab Ultra 3,86
415,New Balance FuelCell Prism,88
416,Altra Paradigm 5.0,88
417,New Balance FuelCell Propel v2,87
418,Altra Escalante 2.5,89
419,Hoka Bondi 7,89
420,Adidas Supernova,90
421,Saucony Echelon 8,80
422,Saucony Clarion 2,82
423,Adidas Galaxy 5,87
424,Altra Olympus 4.0,89
425,Hoka Stinson ATR 6,90
426,Skechers GOrun Maxroad 4 Hyper,83
427,Asics Gel FujiTrabuco 8 GTX,84
428,Adidas Adizero Adios Pro,95
429,Nike Juniper Trail,81
430,Brooks Catamount,92
431,Hoka Clifton Edge,84
432,Brooks Cascadia 15 GTX,88
433,Brooks Hyperion Elite 2,88
434,Hoka Rincon 2,90
435,Brooks Levitate 4,83
436,Asics GT 4000 2,79
437,Asics Gel Scram 6,80
438,Asics GT 2000 9,90
439,Hoka Clifton 7,90
440,New Balance Fresh Foam 860 v11,90
441,Brooks Cascadia 15,91
442,Mizuno Wave Rider 24,90
443,Mizuno Wave Sky 4 Waveknit,89
444,Scott Supertrac RC 2,85
445,Saucony Excursion TR 14 GTX,80
446,Saucony Triumph 18,91
447,Brooks Bedlam 3,86
448,Under Armour HOVR Phantom 2,87
449,Saucony Omni 19,87
450,New Balance Nitrel V4,86
451,Saucony Echelon 8,80
452,Saucony Mad River TR 2,86
453,Saucony Endorphin Shift,90
454,Saucony Endorphin Speed,93
455,Reebok Flashfilm 3.0,74
456,Saucony Endorphin Pro,92
457,Adidas Adizero Pro,89
458,Nike Quest 3,86
459,Salming Race 5,76
460,Hoka Bondi B,91
461,Saucony Ride 13,90
462,Reebok Speed Breeze 2,77
463,Newton Kismet 6,88
464,Asics Gel Ziruss 2,75
465,Adidas Sooraj,79
466,Newton Fate 6,92
467,Asics Frequent Trail,81
468,Asics Gel Excite 6 Twist,91
469,Asics FujiTrabuco Lyte,83
470,Puma Speed Sutamina,86
471,Asics Jolt,86
472,Mizuno Wave Creation Waveknit 2,77
473,Adidas Novafvse X,78
474,Salomon Sense Ride 3 GTX Invisible Fit,73
475,Adidas Focusbreathein,80
476,Nike Air Zoom Alphafly Next%,89
477,Adidas Ventice,79
478,Newton Fusion,78
479,Reebok Floatride Fuel Run,77
480,Brooks Ghost 13,91
481,Brooks Revel 4,92
482,Reebok RUN_R 96,68
483,Saucony Excursion TR 14,81
484,Inov-8 X-Talon 212 v2,75
485,Merrell Mix Master 4,78
486,Nike Pegasus Trail 2,87
487,Adidas Edge Lux 4,77
488,Asics Gel Torrance 2,82
489,Under Armour Charged Bandit Trail GTX,80
490,Asics Gel Pulse 12,81
491,Adidas Response Trail X,68
492,Asics Roadblast,85
493,Hoka Torrent 2,87
494,Adidas Sensebounce+ Street,79
495,Puma Hybrid Sky,82
496,Inov-8 Roclite 300,88
497,Puma Speed 600 2,82
498,Adidas Nova Flow,79
499,New Balance Summit Unknown v2,85
500,Dynafit Ultra 100,83
501,Reebok Zigwild Trail 6.0,83
502,Hoka Hupana Slip,84
503,Jordan Zoom Trunner Ultimate,88
504,Brooks Ariel 20,85
505,Adidas Ultraboost Summer.RDY,87
506,Nike Downshifter 10,86
507,Asics Gel Cumulus 22,91
508,Asics MetaRacer,88
509,Nike Flex Contact 3,79
